match_id,date,team,player,card,minute
20260611_mexico_south-africa,2026-06-11,Mexico,César Montes,red,92
20260611_mexico_south-africa,2026-06-11,South Africa,Themba Zwane,red,84
20260611_mexico_south-africa,2026-06-11,South Africa,Yaya Sithole,red,90
20260611_south-korea_czech-republic,2026-06-11,South Korea,Gi-hyuk Lee,yellow,96
20260612_canada_bosnia-and-herzegovina,2026-06-12,Bosnia and Herzegovina,Nikola Katic,yellow,60
20260612_united-states_paraguay,2026-06-12,United States,Tyler Adams,yellow,60
20260612_united-states_paraguay,2026-06-12,Paraguay,Miguel Almirón,yellow,78
20260612_united-states_paraguay,2026-06-12,Paraguay,Júnior Alonso,yellow,86
20260621_belgium_iran,2026-06-21,Belgium,Nathan Ngoy,red,66
20260618_canada_qatar,2026-06-18,Qatar,Homam Ahmed,red,33
20260618_canada_qatar,2026-06-18,Qatar,Assim Madibo,red,53
20260618_switzerland_bosnia-and-herzegovina,2026-06-18,Bosnia and Herzegovina,Tarik Muharemović,red,80
20260619_turkey_paraguay,2026-06-19,Paraguay,Miguel Almirón,red,45
20260626_senegal_iraq,2026-06-26,Iraq,Rebin Sulaka,red,13
20260705_mexico_england,2026-07-05,England,Jarell Quansah,red,54
20260705_mexico_england,2026-07-05,England,Declan Rice,yellow,1
20260711_argentina_switzerland,2026-07-11,Switzerland,Breel Embolo,red,72
